airport_id,name,city,country,iata_faa,iaco,latitude,longitude,altitude,zone,dst,city_state,avg_able_landings,avg_able_takeoffs,total_landings,total_takeoffs,avg_taxi_in,avg_taxi_out,longest_taxi_in,longest_taxi_out,lng_tx_in_date,lng_tx_out_date
4355,Lehigh Valley International,Allentown,United States,ABE,KABE,40.652083,-75.440806,393,-5,A,"Allentown/Bethlehem/Easton, PA",552,550,593,593,4.206521739130432,7.816363636363643,41.0,96.0,"Thu, Dec 21, 1995","Fri, Dec 15, 1995"
4019,Albuquerque International Sunport,Albuquerque,United States,ABQ,KABQ,35.0402222,-106.6091944,5355,-7,A,"Albuquerque, NM",3099,3100,3118,3118,4.535979348176835,9.287096774193575,53.0,74.0,"Sat, Dec 16, 1995","Sun, Dec 31, 1995"
3531,Kodiak,Kodiak,United States,ADQ,PADQ,57.749967,-152.493856,78,-9,A,"Kodiak, AK",23,23,31,31,2.739130434782609,6.782608695652174,5.0,17.0,"Tue, Dec  5, 1995","Tue, Dec  5, 1995"
3658,Augusta Regional At Bush Field,Bush Field,United States,AGS,KAGS,33.369944,-81.9645,144,-5,A,"Augusta, GA",150,150,153,153,3.6466666666666665,9.320000000000002,16.0,29.0,"Tue, Dec  5, 1995","Thu, Dec  7, 1995"
3794,King Salmon,King Salmon,United States,AKN,PAKN,58.676778,-156.649278,68,-9,A,"King Salmon, AK",13,13,13,13,2.6923076923076925,6.846153846153846,5.0,15.0,"Thu, Dec 28, 1995","Sat, Dec 16, 1995"
3864,Albany International,Albany,United States,ALB,KALB,42.748267,-73.801692,285,-5,A,"Albany, NY",918,921,968,969,4.066448801742925,10.587404994571122,36.0,110.0,"Thu, Dec 14, 1995","Tue, Dec 19, 1995"
3840,Rick Husband Amarillo International,Amarillo,United States,AMA,KAMA,35.219369,-101.705931,3607,-6,A,"Amarillo, TX",374,377,379,381,3.604278074866309,7.594164456233422,42.0,32.0,"Fri, Dec 29, 1995","Sun, Dec 31, 1995"
3774,Ted Stevens Anchorage International,Anchorage,United States,ANC,PANC,61.174361,-149.996361,152,-9,A,"Anchorage, AK",1370,1372,1421,1420,3.689051094890511,10.964285714285724,24.0,50.0,"Wed, Dec 13, 1995","Wed, Dec  6, 1995"
5967,Aniak Airport,Aniak,United States,ANI,PANI,61.5816,-159.543,88,-9,A,"Aniak, AK",12,12,12,12,3.0,6.0,5.0,11.0,"Wed, Dec 13, 1995","Sat, Dec  9, 1995"
3682,Hartsfield Jackson Atlanta International,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,"Atlanta, GA",19697,19770,20102,20113,7.742600395999385,18.178249873545784,154.0,174.0,"Fri, Dec  1, 1995","Tue, Dec 26, 1995"
3673,Austin Bergstrom International,Austin,United States,AUS,KAUS,30.194528,-97.669889,542,-6,A,"Austin, TX",3010,3012,3045,3046,3.484053156146178,9.259960159362548,35.0,151.0,"Wed, Dec 20, 1995","Sun, Dec 17, 1995"
4007,Asheville Regional Airport,Asheville,United States,AVL,KAVL,35.436194,-82.541806,2165,-5,A,"Asheville, NC",153,153,155,155,3.3202614379084965,7.130718954248366,6.0,19.0,"Sat, Dec 23, 1995","Sat, Dec 30, 1995"
4286,Wilkes Barre Scranton International,Scranton,United States,AVP,KAVP,41.338478,-75.723403,962,-5,A,"Scranton/Wilkes-Barre, PA",268,268,277,276,3.376865671641791,6.9888059701492535,7.0,44.0,"Wed, Dec 20, 1995","Sun, Dec 31, 1995"
4039,Kalamazoo,Kalamazoo,United States,AZO,KAZO,42.234875,-85.552058,874,-5,A,"Kalamazoo, MI",186,186,192,192,3.559139784946237,8.204301075268814,10.0,72.0,"Fri, Dec 29, 1995","Thu, Dec 14, 1995"
3825,Bradley International,Windsor Locks,United States,BDL,KBDL,41.938889,-72.683222,173,-5,A,"Hartford, CT",2064,2062,2145,2146,5.045542635658912,13.679437439379244,95.0,192.0,"Sat, Dec  9, 1995","Thu, Dec 14, 1995"
3599,Bethel,Bethel,United States,BET,PABE,60.779778,-161.838,121,-9,A,"Bethel, AK",70,70,72,72,2.528571428571429,7.328571428571428,4.0,15.0,"Fri, Dec 15, 1995","Sun, Dec 24, 1995"
3558,Meadows Field,Bakersfield,United States,BFL,KBFL,35.433598,-119.05677,507,-8,A,"Bakersfield, CA",30,30,31,31,6.266666666666667,12.033333333333333,9.0,67.0,"Tue, Dec 19, 1995","Fri, Dec 15, 1995"
4129,Greater Binghamton-Edwin A. Link Field,Binghamton,United States,BGM,KBGM,42.208689,-75.979839,1636,-5,A,"Binghamton, NY",107,106,112,112,3.803738317757009,8.669811320754716,7.0,29.0,"Mon, Dec  4, 1995","Tue, Dec 19, 1995"
3463,Bangor International,Bangor,United States,BGR,KBGR,44.807444,-68.828139,192,-5,A,"Bangor, ME",90,90,93,93,4.87777777777778,11.222222222222218,11.0,32.0,"Thu, Dec 14, 1995","Thu, Dec 21, 1995"
3811,Birmingham International,Birmingham,United States,BHM,KBHM,33.562942,-86.75355,644,-6,A,"Birmingham, AL",1505,1505,1514,1514,3.1003322259136232,9.103654485049823,29.0,82.0,"Thu, Dec 14, 1995","Thu, Dec 14, 1995"
4021,Billings Logan International Airport,Billings,United States,BIL,KBIL,45.80921,-108.537654,3652,-7,A,"Billings, MT",288,289,301,301,3.368055555555556,10.439446366782004,15.0,43.0,"Mon, Dec 18, 1995","Fri, Dec  8, 1995"
4083,Bismarck Municipal Airport,Bismarck,United States,BIS,KBIS,46.775842,-100.757931,1661,-6,A,"Bismarck/Mandan, ND",115,115,118,118,3.617391304347826,8.365217391304347,8.0,28.0,"Wed, Dec 20, 1995","Wed, Dec 27, 1995"
3690,Nashville International,Nashville,United States,BNA,KBNA,36.124472,-86.678194,599,-6,A,"Nashville, TN",3674,3670,3749,3745,5.082471420794778,9.86566757493188,45.0,61.0,"Mon, Dec 11, 1995","Sat, Dec 16, 1995"
